Program identifier,Target name,Right Ascension,Declination,Instrument,Dispersive Element,Phase Start,Phase End,Observing Mode,Scan Rate,Visit identifier,Date/Time Start,Date/Time End,Orbits,Status,PI name,Proprietary Period (Months),Direct image,White light curve,XY drift map
11495,WASP-3/USNO-B1.01256-0285133,18:34:31.6300,+35:39:41.52,WFC3/IR,G102,0.94459,0.94831,Stare,0.000,04,Jun 13 2010 05:48:53,Jun 13 2010 13:09:04,5,Archived,Haswell,0,N/A,N/A,N/A
11622,GJ-436,11:42:11.0941,+26:42:23.65,WFC3/IR,G141,0.94180,0.94380,Forward,0.990,01,May 01 2012 21:21:25,May 02 2012 02:45:15,4,Failed,Knutson,12,Yes,Yes,Yes
11622,GJ-436,11:42:11.0941,+26:42:23.65,WFC3/IR,G141,0.94380,0.94580,Forward,0.990,02,Oct 26 2012 00:57:43,Oct 26 2012 06:32:52,4,Archived,Knutson,12,Yes,Yes,Yes
11622,GJ-436,11:42:11.0941,+26:42:23.65,WFC3/IR,G141,0.94160,0.94380,Forward,0.990,03,Nov 29 2012 09:52:46,Nov 29 2012 15:28:03,4,Archived,Knutson,12,Yes,Yes,Yes
11622,GJ-436,11:42:11.0941,+26:42:23.65,WFC3/IR,G141,0.94320,0.94580,Forward,0.990,04,Dec 09 2012 23:36:04,Dec 10 2012 05:11:03,4,Archived,Knutson,12,Yes,Yes,Yes
11622,GJ-436,11:42:11.0941,+26:42:23.65,WFC3/IR,G141,0.94180,0.94380,Forward,0.990,51,Jan 02 2013 18:42:31,Jan 03 2013 00:00:27,4,Archived,Knutson,12,Yes,Yes,Yes
11740,HD-189733,20:00:43.7133,+22:42:39.07,WFC3/IR,G141,0.92560,0.93590,Stare,0.000,05,Nov 10 2010 02:21:33,Nov 10 2010 08:02:27,4,Archived,Pont,12,N/A,N/A,N/A
11740,HD-189733,20:00:43.7133,+22:42:39.07,WFC3/IR,G141,0.92560,0.93590,Stare,0.000,06,Sep 04 2010 12:34:08,Sep 04 2010 18:16:45,4,Archived,Pont,12,N/A,N/A,N/A
12181,HAT-P-12,13:57:33.5000,+43:29:36.70,WFC3/IR,G141,0.93600,0.95200,Stare,0.000,01,May 29 2011 03:59:56,May 29 2011 09:51:01,4,Archived,Deming,12,N/A,N/A,N/A
12181,WASP-12,06:30:32.8000,+29:40:20.00,WFC3/IR,G141,0.81600,0.84300,Stare,0.000,02,Oct 10 2010 15:14:42,Oct 10 2010 21:10:06,4,Archived,Deming,12,N/A,N/A,N/A
12181,TRES-2,19:07:14.0400,+49:18:59.10,WFC3/IR,G141,0.91900,0.95200,Stare,0.000,03,Oct 09 2010 20:57:34,Oct 10 2010 02:46:42,4,Archived,Deming,12,N/A,N/A,N/A
12181,WASP-18,01:37:25.0300,-45:40:40.40,WFC3/IR,G141,0.85800,0.89300,Stare,0.000,05,Jun 25 2011 13:05:39,Jun 25 2011 18:42:19,4,Archived,Deming,12,N/A,N/A,N/A
12181,WASP-17,15:59:50.9500,-28:03:42.30,WFC3/IR,G141,0.93700,0.94500,Stare,0.000,06,Jul 08 2011 01:01:25,Jul 08 2011 08:13:08,5,Archived,Deming,12,N/A,N/A,N/A
12181,XO-1,16:02:11.8400,+28:10:10.40,WFC3/IR,G141,0.95000,0.95500,Forward,0.050,07,Sep 30 2011 03:43:55,Sep 30 2011 10:48:27,5,Archived,Deming,12,Yes,Yes,Yes
12181,TRES-4,17:53:13.0000,+37:12:42.00,WFC3/IR,G141,0.93400,0.94200,Stare,0.000,08,Nov 23 2010 19:22:11,Nov 24 2010 02:44:22,5,Archived,Deming,12,N/A,N/A,N/A
12181,HAT-P-13,08:39:31.8000,+47:21:07.30,WFC3/IR,G141,0.92500,0.94700,Stare,0.000,09,Sep 08 2010 02:09:04,Sep 08 2010 09:40:11,5,Archived,Deming,12,N/A,N/A,N/A
12181,HAT-P-7,19:28:59.3600,+47:58:10.30,WFC3/IR,G141,0.89600,0.90400,Stare,0.000,10,Jul 18 2011 13:28:50,Jul 18 2011 20:50:55,5,Archived,Deming,12,N/A,N/A,N/A
12181,HAT-P-7,19:28:59.3600,+47:58:10.30,WFC3/IR,G141,0.39600,0.40400,Stare,0.000,11,Sep 29 2010 10:18:04,Sep 29 2010 17:42:44,5,Archived,Deming,12,N/A,N/A,N/A
12181,HAT-P-7,19:28:59.3600,+47:58:10.30,WFC3/IR,G141,0.39600,0.40400,Stare,0.000,12,Dec 06 2010 18:56:10,Dec 07 2010 02:14:21,5,Archived,Deming,12,N/A,N/A,N/A
12181,HAT-P-7,19:28:59.3600,+47:58:10.30,WFC3/IR,G141,0.41100,0.41900,Stare,0.000,13,Jul 04 2011 06:08:58,Jul 04 2011 13:31:40,5,Archived,Deming,12,N/A,N/A,N/A
12181,WASP-4,23:34:15.0600,-42:03:41.10,WFC3/IR,G141,0.85600,0.86700,Stare,0.000,14,Nov 25 2010 11:33:53,Nov 25 2010 18:48:00,5,Archived,Deming,12,N/A,N/A,N/A
12181,WASP-19,09:53:40.0800,-45:39:33.10,WFC3/IR,G141,0.79500,0.81700,Stare,0.000,15,Jul 01 2011 08:49:57,Jul 01 2011 14:33:43,4,Archived,Deming,12,N/A,N/A,N/A
12181,TRES-3,17:52:07.0000,+37:32:46.20,WFC3/IR,G141,0.37500,0.39100,Stare,0.000,16,Mar 02 2011 17:12:23,Mar 02 2011 22:51:43,4,Archived,Deming,12,N/A,N/A,N/A
12181,COROT-1,06:48:19.1720,-03:06:08.00,WFC3/IR,G141,0.87300,0.88100,Stare,0.000,17,Jan 23 2012 21:36:59,Jan 24 2012 03:21:50,4,Archived,Deming,12,N/A,N/A,N/A
12181,WASP-19,09:53:40.0800,-45:39:33.10,WFC3/IR,G141,0.29500,0.31700,Stare,0.000,18,Jun 09 2011 16:23:48,Jun 09 2011 21:41:05,4,Archived,Deming,12,N/A,N/A,N/A
12181,COROT-1,06:48:19.1720,-03:06:08.00,WFC3/IR,G141,0.36500,0.39500,Stare,0.000,19,Jan 17 2012 02:45:15,Jan 17 2012 08:30:06,4,Archived,Deming,12,N/A,N/A,N/A
12181,COROT-1,06:48:19.1720,-03:06:08.00,WFC3/IR,G141,0.36500,0.39500,Stare,0.000,20,Jan 27 2012 15:48:32,Jan 27 2012 22:22:59,4,Archived,Deming,12,N/A,N/A,N/A
12181,COROT-1,06:48:19.1720,-03:06:08.00,WFC3/IR,G141,0.36500,0.39500,Stare,0.000,21,Feb 05 2012 17:45:29,Feb 05 2012 23:30:31,4,Archived,Deming,12,N/A,N/A,N/A
12181,COROT-2,19:27:06.5000,+01:23:01.40,WFC3/IR,G141,0.41400,0.42200,Stare,0.000,22,Sep 16 2011 09:27:05,Sep 16 2011 15:09:27,4,Archived,Deming,12,N/A,N/A,N/A
12181,COROT-2,19:27:06.5000,+01:23:01.40,WFC3/IR,G141,0.39700,0.40500,Stare,0.000,23,Oct 18 2010 11:03:45,Oct 18 2010 16:47:21,4,Archived,Deming,12,N/A,N/A,N/A
12181,COROT-2,19:27:06.5000,+01:23:01.40,WFC3/IR,G141,0.38600,0.39100,Stare,0.000,24,Sep 23 2011 07:31:35,Sep 23 2011 13:13:52,4,Archived,Deming,12,N/A,N/A,N/A
12181,WASP-4,23:34:15.0600,-42:03:41.10,WFC3/IR,G141,0.35600,0.36700,Stare,0.000,25,Nov 27 2010 11:33:44,Nov 27 2010 18:47:53,5,Archived,Deming,12,N/A,N/A,N/A
12181,HD-209458,22:03:10.7800,+18:53:03.70,WFC3/IR,G141,0.94100,0.94800,Forward,0.900,26,Sep 25 2012 13:42:19,Sep 25 2012 21:29:52,5,Archived,Deming,12,Yes,Yes,Yes
12181,HD-189733,20:00:43.7100,+22:42:39.10,WFC3/IR,G141,0.92200,0.93200,Forward,0.990,27,Sep 10 2011 00:18:28,Sep 10 2011 07:02:32,4,Archived,Deming,12,N/A,N/A,N/A
12251,GJ-1214,17:15:18.9180,+04:57:50.09,WFC3/IR,G141,0.90000,0.91200,Stare,0.000,01,Mar 28 2011 14:34:08,Mar 28 2011 20:24:37,4,Archived,Berta,12,N/A,N/A,N/A
12251,GJ-1214,17:15:18.9180,+04:57:50.09,WFC3/IR,G141,0.90000,0.91200,Stare,0.000,02,Oct 08 2010 22:27:12,Oct 09 2010 04:15:05,4,Archived,Berta,12,N/A,N/A,N/A
12251,GJ-1214,17:15:18.9180,+04:57:50.09,WFC3/IR,G141,0.90000,0.91200,Stare,0.000,03,Jul 23 2011 13:11:57,Jul 23 2011 18:59:40,4,Archived,Berta,12,N/A,N/A,N/A
12449,HAT-P-11,19:50:50.1400,+48:04:49.00,WFC3/IR,G141,0.96700,0.97100,Forward,0.370,01,Oct 18 2012 04:58:38,Oct 18 2012 10:50:41,4,Archived,Deming,12,Yes,Yes,Yes
12449,HAT-P-11,19:50:50.1400,+48:04:49.00,WFC3/IR,G141,0.96200,0.96600,Forward,0.370,02,Dec 15 2012 20:03:14,Dec 16 2012 00:54:06,4,Archived,Deming,12,Yes,Yes,Yes
12473,WASP-31,11:17:45.3570,-19:03:17.21,WFC3/IR,G141,0.95120,0.95560,Forward,0.019,25,May 13 2012 12:41:16,May 13 2012 20:03:06,5,Archived,Sing,12,Yes,Yes,Yes
12473,HAT-P-1,22:57:46.3540,+38:40:28.11,WFC3/IR,G141,0.95000,0.95400,Forward,0.150,26,Jul 05 2012 15:07:44,Jul 05 2012 22:26:04,5,Archived,Sing,12,Yes,Yes,Yes
12495,WASP-33,02:26:51.0600,+37:33:01.80,WFC3/IR,G141,0.34000,0.34800,Forward,0.250,01,Jan 14 2013 10:46:14,Jan 14 2013 18:03:23,5,Archived,Deming,12,Yes,Yes,Yes
12495,WASP-33,02:26:51.0600,+37:33:01.80,WFC3/IR,G141,0.31750,0.32550,Forward,0.250,02,Nov 25 2012 09:34:43,Nov 25 2012 16:37:47,5,Archived,Deming,12,Yes,Yes,Yes
12881,HD-189733,20:00:43.7100,+22:42:39.10,WFC3/IR,G141,0.90000,0.90600,Reverse,2.000,11,Jun 05 2013 11:24:49,Jun 05 2013 18:40:41,5,Archived,McCullough,3,Yes,Yes,Yes
12881,HD-189733,20:00:43.7100,+22:42:39.10,WFC3/IR,G141,0.40000,0.40600,Reverse,2.000,13,Jun 24 2013 08:17:48,Jun 24 2013 15:35:21,5,Archived,McCullough,3,Yes,Yes,Yes
12955,KEPLER-11,19:48:27.6220,+41:54:32.87,WFC3/IR,G141,0.98800,0.99160,Stare,0.000,01,Nov 18 2013 04:27:08,Nov 18 2013 05:23:44,1,Archived,Deroo,12,N/A,N/A,N/A
12955,KEPLER-11,19:48:27.6220,+41:54:32.87,WFC3/IR,G141,N/A,N/A,Stare,0.000,04,Nov 18 2013 06:02:49,Nov 18 2013 06:58:30,1,Archived,Deroo,12,N/A,N/A,N/A
12955,KEPLER-11,19:48:27.6220,+41:54:32.87,WFC3/IR,G141,N/A,N/A,Stare,0.000,05,Nov 18 2013 07:38:31,Nov 18 2013 08:34:12,1,Archived,Deroo,12,N/A,N/A,N/A
12955,KEPLER-11,19:48:27.6220,+41:54:32.87,WFC3/IR,G141,N/A,N/A,Stare,0.000,06,Nov 18 2013 09:14:13,Nov 18 2013 10:09:54,1,Archived,Deroo,12,N/A,N/A,N/A
12955,KEPLER-11,19:48:27.6220,+41:54:32.87,WFC3/IR,G141,N/A,N/A,Stare,0.000,07,Nov 18 2013 10:51:16,Nov 18 2013 11:46:57,1,Archived,Deroo,12,N/A,N/A,N/A
12955,KEPLER-11,19:48:27.6220,+41:54:32.87,WFC3/IR,G141,N/A,N/A,Stare,0.000,08,Nov 18 2013 12:33:28,Nov 18 2013 13:17:46,1,Archived,Deroo,12,N/A,N/A,N/A
12955,KEPLER-11,19:48:27.6220,+41:54:32.87,WFC3/IR,G141,N/A,N/A,Stare,0.000,09,Nov 18 2013 14:14:57,Nov 18 2013 14:59:15,1,Archived,Deroo,12,N/A,N/A,N/A
12955,KEPLER-11,19:48:27.6220,+41:54:32.87,WFC3/IR,G141,0.99480,0.99600,Stare,0.000,02,Sep 16 2013 07:50:20,Sep 16 2013 08:46:56,1,Archived,Deroo,12,N/A,N/A,N/A
12955,KEPLER-11,19:48:27.6220,+41:54:32.87,WFC3/IR,G141,N/A,N/A,Stare,0.000,10,Sep 16 2013 09:26:07,Sep 16 2013 10:27:29,1,Archived,Deroo,12,N/A,N/A,N/A
12955,KEPLER-11,19:48:27.6220,+41:54:32.87,WFC3/IR,G141,N/A,N/A,Stare,0.000,11,Sep 16 2013 11:01:54,Sep 16 2013 12:03:16,1,Archived,Deroo,12,N/A,N/A,N/A
12955,KEPLER-11,19:48:27.6220,+41:54:32.87,WFC3/IR,G141,N/A,N/A,Stare,0.000,12,Sep 16 2013 12:37:41,Sep 16 2013 13:39:03,1,Archived,Deroo,12,N/A,N/A,N/A
12955,KEPLER-11,19:48:27.6220,+41:54:32.87,WFC3/IR,G141,N/A,N/A,Stare,0.000,13,Sep 16 2013 14:13:28,Sep 16 2013 15:14:50,1,Archived,Deroo,12,N/A,N/A,N/A
12955,KEPLER-11,19:48:27.6220,+41:54:32.87,WFC3/IR,G141,N/A,N/A,Stare,0.000,14,Sep 16 2013 15:49:16,Sep 16 2013 16:50:38,1,Archived,Deroo,12,N/A,N/A,N/A
12955,KEPLER-11,19:48:27.6220,+41:54:32.87,WFC3/IR,G141,N/A,N/A,Stare,0.000,15,Sep 16 2013 17:49:45,Sep 16 2013 18:38:36,1,Archived,Deroo,12,N/A,N/A,N/A
12955,KEPLER-11,19:48:27.6220,+41:54:32.87,WFC3/IR,G141,0.99300,0.99450,Stare,0.000,03,Sep 19 2013 06:06:14,Sep 19 2013 07:08:31,1,Archived,Deroo,12,N/A,N/A,N/A
12955,KEPLER-11,19:48:27.6220,+41:54:32.87,WFC3/IR,G141,N/A,N/A,Stare,0.000,16,Sep 19 2013 07:42:03,Sep 19 2013 08:43:25,1,Archived,Deroo,12,N/A,N/A,N/A
12955,KEPLER-11,19:48:27.6220,+41:54:32.87,WFC3/IR,G141,N/A,N/A,Stare,0.000,17,Sep 19 2013 09:17:53,Sep 19 2013 10:19:15,1,Archived,Deroo,12,N/A,N/A,N/A
12955,KEPLER-11,19:48:27.6220,+41:54:32.87,WFC3/IR,G141,N/A,N/A,Stare,0.000,18,Sep 19 2013 10:53:42,Sep 19 2013 11:55:04,1,Archived,Deroo,12,N/A,N/A,N/A
12955,KEPLER-11,19:48:27.6220,+41:54:32.87,WFC3/IR,G141,N/A,N/A,Stare,0.000,19,Sep 19 2013 12:29:32,Sep 19 2013 13:30:54,1,Archived,Deroo,12,N/A,N/A,N/A
12955,KEPLER-11,19:48:27.6220,+41:54:32.87,WFC3/IR,G141,N/A,N/A,Stare,0.000,20,Sep 19 2013 14:05:21,Sep 19 2013 15:06:43,1,Archived,Deroo,12,N/A,N/A,N/A
12956,HAT-P-17,21:38:08.7316,+30:29:19.42,WFC3/IR,G141,0.98111,0.98257,Forward,0.134,02,Nov 24 2013 01:08:56,Nov 24 2013 08:10:42,5,Archived,Huitson,12,Yes,Yes,Yes
13021,GJ-1214,17:15:18.9180,+04:57:50.09,WFC3/IR,G141,0.89930,0.91260,Forward,0.120,01,Sep 27 2012 00:04:47,Sep 27 2012 05:44:38,4,Archived,Bean,0,Yes,Yes,Yes
13021,GJ-1214,17:15:18.9180,+04:57:50.09,WFC3/IR,G141,0.89930,0.91260,Forward,0.120,02,Aug 20 2013 03:40:20,Aug 20 2013 09:20:37,4,Archived,Bean,0,Yes,Yes,Yes
13021,GJ-1214,17:15:18.9180,+04:57:50.09,WFC3/IR,G141,0.89930,0.91260,Forward,0.120,03,Oct 03 2012 07:41:48,Oct 03 2012 13:21:27,4,Archived,Bean,0,Yes,Yes,Yes
13021,GJ-1214,17:15:18.9180,+04:57:50.09,WFC3/IR,G141,0.89930,0.91260,Forward,0.120,04,Oct 11 2012 05:30:11,Oct 11 2012 11:14:52,4,Archived,Bean,0,Yes,Yes,Yes
13021,GJ-1214,17:15:18.9180,+04:57:50.09,WFC3/IR,G141,0.89930,0.91260,Forward,0.120,05,Oct 19 2012 03:23:26,Oct 19 2012 09:06:20,4,Archived,Bean,0,Yes,Yes,Yes
13021,GJ-1214,17:15:18.9180,+04:57:50.09,WFC3/IR,G141,0.89930,0.91260,Forward,0.120,06,Mar 15 2013 02:52:08,Mar 15 2013 08:34:55,4,Archived,Bean,0,Yes,Yes,Yes
13021,GJ-1214,17:15:18.9180,+04:57:50.09,WFC3/IR,G141,0.89930,0.91260,Forward,0.120,07,Mar 13 2013 12:34:53,Mar 13 2013 18:17:34,4,Archived,Bean,0,Yes,Yes,Yes
13021,GJ-1214,17:15:18.9180,+04:57:50.09,WFC3/IR,G141,0.89930,0.91260,Forward,0.120,08,Jan 29 2013 20:25:13,Jan 30 2013 02:07:23,4,Archived,Bean,0,Yes,Yes,Yes
13021,GJ-1214,17:15:18.9180,+04:57:50.09,WFC3/IR,G141,0.89930,0.91260,Forward,0.120,09,Aug 04 2013 08:10:12,Aug 04 2013 13:49:47,4,Archived,Bean,0,Yes,Yes,Yes
13021,GJ-1214,17:15:18.9180,+04:57:50.09,WFC3/IR,G141,0.89930,0.91260,Forward,0.120,10,Mar 27 2013 17:56:43,Mar 27 2013 23:39:51,4,Archived,Bean,0,Yes,Yes,Yes
13021,GJ-1214,17:15:18.9180,+04:57:50.09,WFC3/IR,G141,0.89930,0.91260,Forward,0.120,11,Apr 04 2013 15:44:47,Apr 04 2013 21:27:32,4,Archived,Bean,0,Yes,Yes,Yes
13021,GJ-1214,17:15:18.9180,+04:57:50.09,WFC3/IR,G141,0.89930,0.91260,Forward,0.120,12,Apr 12 2013 13:36:37,Apr 12 2013 19:18:24,4,Archived,Bean,0,Yes,Yes,Yes
13021,GJ-1214,17:15:18.9180,+04:57:50.09,WFC3/IR,G141,0.89930,0.91260,Forward,0.120,13,May 01 2013 12:11:09,May 01 2013 17:53:52,4,Archived,Bean,0,Yes,Yes,Yes
13021,GJ-1214,17:15:18.9180,+04:57:50.09,WFC3/IR,G141,0.89930,0.91260,Forward,0.120,14,Jul 06 2013 21:35:30,Jul 07 2013 03:15:36,4,Archived,Bean,0,Yes,Yes,Yes
13021,GJ-1214,17:15:18.9180,+04:57:50.09,WFC3/IR,G141,0.89930,0.91260,Forward,0.120,15,Aug 12 2013 05:55:22,Aug 12 2013 11:35:52,4,Archived,Bean,0,Yes,Yes,Yes
13064,GJ-3470,07:59:05.8700,+15:23:29.50,WFC3/IR,G141,0.95200,0.95800,Stare,0.000,01,Feb 07 2013 01:42:07,Feb 07 2013 08:57:16,5,Archived,Ehrenreich,0,N/A,N/A,N/A
13338,GJ-436/LHS-310,11:42:11.0937,+26:42:23.65,WFC3/IR,G141,0.88100,0.89800,Reverse,1.200,01,Dec 17 2013 14:03:52,Dec 17 2013 15:02:29,1,Archived,Stevenson,12,N/A,N/A,N/A
13338,GJ-436/LHS-310,11:42:11.0937,+26:42:23.65,WFC3/IR,G141,N/A,N/A,Reverse,1.200,02,Dec 17 2013 15:39:30,Dec 17 2013 16:38:07,1,Archived,Stevenson,12,N/A,N/A,N/A
13338,GJ-436/LHS-310,11:42:11.0937,+26:42:23.65,WFC3/IR,G141,N/A,N/A,Reverse,1.200,03,Dec 17 2013 17:15:08,Dec 17 2013 18:13:45,1,Archived,Stevenson,12,N/A,N/A,N/A
13338,GJ-436/LHS-310,11:42:11.0937,+26:42:23.65,WFC3/IR,G141,N/A,N/A,Reverse,1.200,04,Dec 17 2013 18:50:46,Dec 17 2013 19:49:23,1,Archived,Stevenson,12,N/A,N/A,N/A
13338,GJ-436/LHS-310,11:42:11.0937,+26:42:23.65,WFC3/IR,G141,0.86500,0.87500,Reverse,1.200,11,Feb 14 2014 07:07:54,Feb 14 2014 08:06:31,1,Archived,Stevenson,12,Yes,Yes,Yes
13338,GJ-436/LHS-310,11:42:11.0937,+26:42:23.65,WFC3/IR,G141,N/A,N/A,Reverse,1.200,12,Feb 14 2014 08:43:31,Feb 14 2014 09:42:08,1,Archived,Stevenson,12,Yes,Yes,Yes
13338,GJ-436/LHS-310,11:42:11.0937,+26:42:23.65,WFC3/IR,G141,N/A,N/A,Reverse,1.200,13,Feb 14 2014 10:19:07,Feb 14 2014 11:17:44,1,Archived,Stevenson,12,Yes,Yes,Yes
13338,GJ-436/LHS-310,11:42:11.0937,+26:42:23.65,WFC3/IR,G141,N/A,N/A,Reverse,1.200,14,Feb 14 2014 11:54:44,Feb 14 2014 12:53:21,1,Archived,Stevenson,12,Yes,Yes,Yes
13431,WASP-19,09:53:41.1806,-45:39:05.50,WFC3/IR,G141,0.76956,0.78667,Forward,0.026,01,Jun 12 2014 03:10:50,Jun 12 2014 10:30:30,5,Archived,Huitson,12,Yes,Yes,Yes
13431,WASP-19,09:53:41.1806,-45:39:05.50,WFC3/IR,G141,0.07090,0.08803,Forward,0.026,02,Jun 13 2014 22:32:55,Jun 14 2014 05:42:02,5,Archived,Huitson,12,Yes,Yes,Yes
13431,WASP-19,09:53:41.1806,-45:39:05.50,WFC3/IR,G141,0.20276,0.21987,Forward,0.026,03,Jun 10 2014 21:02:09,Jun 11 2014 04:18:45,5,Archived,Huitson,12,Yes,Yes,Yes
13467,WASP-12,06:30:32.7940,+29:40:20.29,WFC3/IR,G141,0.82500,0.84500,Forward,0.040,13,Jan 01 2014 09:14:21,Jan 01 2014 16:34:46,5,Archived,Bean,0,Yes,Yes,Yes
13467,WASP-12,06:30:32.7940,+29:40:20.29,WFC3/IR,G102,0.82500,0.84500,Forward,0.040,11,Feb 05 2014 07:40:42,Feb 05 2014 14:58:29,5,Archived,Bean,0,Yes,Yes,Yes
13467,WASP-12,06:30:32.7940,+29:40:20.29,WFC3/IR,G102,0.82500,0.84500,Forward,0.040,12,Feb 15 2014 03:41:30,Feb 15 2014 10:57:22,5,Archived,Bean,0,Yes,Yes,Yes
13467,WASP-12,06:30:32.7940,+29:40:20.29,WFC3/IR,G102,0.82500,0.84500,Forward,0.050,15,Dec 19 2013 07:15:13,Dec 19 2013 14:34:26,5,Failed,Bean,0,Yes,Yes,Yes
13467,WASP-12,06:30:32.7940,+29:40:20.29,WFC3/IR,G141,0.82500,0.84500,Forward,0.050,16,Jan 16 2014 15:51:15,Jan 16 2014 23:09:12,5,Archived,Bean,0,Yes,Yes,Yes
13467,WASP-12,06:30:32.7940,+29:40:20.29,WFC3/IR,G141,0.82500,0.84500,Forward,0.050,17,Mar 04 2014 14:45:39,Mar 04 2014 22:02:15,5,Archived,Bean,0,Yes,Yes,Yes
